date,btc,bitcoin
2022-07-01,70,82
2022-07-02,60,70
2022-07-03,56,68
2022-07-04,59,70
2022-07-05,63,72
2022-07-06,54,69
2022-07-07,57,66
2022-07-08,60,67
2022-07-09,48,54
2022-07-10,47,55
2022-07-11,52,63
2022-07-12,53,64
2022-07-13,54,64
2022-07-14,54,62
2022-07-15,52,57
2022-07-16,44,51
2022-07-17,46,51
2022-07-18,58,64
2022-07-19,60,64
2022-07-20,67,72
2022-07-21,65,75
2022-07-22,53,62
2022-07-23,45,51
2022-07-24,43,47
2022-07-25,50,54
2022-07-26,50,56
2022-07-27,49,54
2022-07-28,54,55
2022-07-29,52,54
2022-07-30,48,47
2022-07-31,44,47
2022-08-01,49,52
2022-08-02,48,50
2022-08-03,46,50
2022-08-04,45,47
2022-08-05,44,46
2022-08-06,39,40
2022-08-07,38,39
2022-08-08,44,48
2022-08-09,46,47
2022-08-10,44,46
2022-08-11,50,51
2022-08-12,46,44
2022-08-13,43,42
2022-08-14,42,44
2022-08-15,46,46
2022-08-16,41,43
2022-08-17,44,45
2022-08-18,39,41
2022-08-19,57,57
2022-08-20,43,46
2022-08-21,40,42
2022-08-22,43,46
2022-08-23,41,44
2022-08-24,38,39
2022-08-25,37,42
2022-08-26,43,45
2022-08-27,45,47
2022-08-28,42,43
2022-08-29,47,49
2022-08-30,43,45
2022-08-31,41,45
2022-09-01,39,44
2022-09-02,37,41
2022-09-03,35,36
2022-09-04,35,38
2022-09-05,39,41
2022-09-06,45,43
2022-09-07,50,51
2022-09-08,40,42
2022-09-09,47,48
2022-09-10,41,40
2022-09-11,36,37
2022-09-12,44,44
2022-09-13,49,47
2022-09-14,45,47
2022-09-15,43,45
2022-09-16,41,46
2022-09-17,39,38
2022-09-18,36,38
2022-09-19,51,52
2022-09-20,43,48
2022-09-21,46,49
2022-09-22,45,47
2022-09-23,41,47
2022-09-24,37,39
2022-09-25,35,38
2022-09-26,41,43
2022-09-27,43,46
2022-09-28,41,43
2022-09-29,39,41
2022-09-30,39,40
2022-10-01,33,34
2022-10-02,31,34
2022-10-03,36,39
2022-10-04,39,41
2022-10-05,35,39
2022-10-06,35,38
2022-10-07,35,38
2022-10-08,30,32
2022-10-09,29,34
2022-10-10,34,37
2022-10-11,35,38
2022-10-12,34,37
2022-10-13,40,40
2022-10-14,37,38
2022-10-15,32,32
2022-10-16,31,31
2022-10-17,34,34
2022-10-18,31,36
2022-10-19,31,34
2022-10-20,32,35
2022-10-21,32,34
2022-10-22,27,30
2022-10-23,28,29
2022-10-24,31,34
2022-10-25,36,36
2022-10-26,41,40
2022-10-27,37,38
2022-10-28,34,35
2022-10-29,34,34
2022-10-30,32,32
2022-10-31,35,36
2022-11-01,33,34
2022-11-02,34,32
2022-11-03,33,35
2022-11-04,36,37
2022-11-05,35,32
2022-11-06,30,30
2022-11-07,36,36
2022-11-08,60,53
2022-11-09,100,93
2022-11-10,99,100
2022-11-11,75,82
2022-11-12,63,76
2022-11-13,60,68
2022-11-14,69,79
2022-11-15,58,70
2022-11-16,51,62
2022-11-17,50,59
2022-11-18,45,55
2022-11-19,40,46
2022-11-20,39,44
2022-11-21,52,56
2022-11-22,48,57
2022-11-23,44,50
2022-11-24,38,43
2022-11-25,37,41
2022-11-26,32,37
2022-11-27,32,37
2022-11-28,41,44
2022-11-29,37,44
2022-11-30,39,42
2022-12-01,37,42
2022-12-02,35,38
2022-12-03,32,34
2022-12-04,30,34
2022-12-05,36,39
2022-12-06,34,38
2022-12-07,35,39
2022-12-08,36,41
2022-12-09,32,35
2022-12-10,29,30
2022-12-11,30,35
2022-12-12,34,38
2022-12-13,41,44
2022-12-14,41,43
2022-12-15,36,40
2022-12-16,40,41
2022-12-17,36,36
2022-12-18,31,33
2022-12-19,36,37
2022-12-20,35,38
2022-12-21,35,40
2022-12-22,33,38
2022-12-23,33,36
2022-12-24,29,33
2022-12-25,30,34
2022-12-26,31,35
2022-12-27,32,36
2022-12-28,33,38
2022-12-29,32,35
2022-12-30,30,35
2022-12-31,27,32
