date,eth,ethereum
2021-07-01,42,51
2021-07-02,41,46
2021-07-03,42,46
2021-07-04,54,58
2021-07-05,44,52
2021-07-06,46,50
2021-07-07,47,52
2021-07-08,50,50
2021-07-09,46,44
2021-07-10,48,42
2021-07-11,41,38
2021-07-12,46,43
2021-07-13,54,48
2021-07-14,51,49
2021-07-15,44,44
2021-07-16,46,43
2021-07-17,41,43
2021-07-18,44,42
2021-07-19,41,45
2021-07-20,47,56
2021-07-21,44,51
2021-07-22,45,51
2021-07-23,48,47
2021-07-24,51,48
2021-07-25,46,47
2021-07-26,61,71
2021-07-27,52,52
2021-07-28,48,55
2021-07-29,47,49
2021-07-30,45,53
2021-07-31,54,57
2021-08-01,58,69
2021-08-02,56,65
2021-08-03,53,57
2021-08-04,66,73
2021-08-05,100,99
2021-08-06,81,86
2021-08-07,90,100
2021-08-08,72,92
2021-08-09,71,85
2021-08-10,67,80
2021-08-11,68,87
2021-08-12,60,73
2021-08-13,59,70
2021-08-14,60,74
2021-08-15,58,64
2021-08-16,57,65
2021-08-17,53,62
2021-08-18,56,60
2021-08-19,54,58
2021-08-20,58,67
2021-08-21,57,63
2021-08-22,54,59
2021-08-23,61,69
2021-08-24,66,65
2021-08-25,57,55
2021-08-26,56,54
2021-08-27,55,51
2021-08-28,52,50
2021-08-29,58,46
2021-08-30,60,51
2021-08-31,62,58
2021-09-01,87,82
2021-09-02,81,85
2021-09-03,84,85
2021-09-04,68,75
2021-09-05,65,70
2021-09-06,64,71
2021-09-07,90,88
2021-09-08,65,71
2021-09-09,59,61
2021-09-10,58,57
2021-09-11,50,50
2021-09-12,52,50
2021-09-13,54,51
2021-09-14,48,49
2021-09-15,52,48
2021-09-16,57,53
2021-09-17,48,49
2021-09-18,48,46
2021-09-19,48,43
2021-09-20,58,52
2021-09-21,60,60
2021-09-22,54,55
2021-09-23,53,48
2021-09-24,57,58
2021-09-25,51,45
2021-09-26,49,45
2021-09-27,54,48
2021-09-28,52,47
2021-09-29,51,44
2021-09-30,50,43
2021-10-01,60,51
2021-10-02,52,50
2021-10-03,51,47
2021-10-04,50,48
2021-10-05,60,52
2021-10-06,66,61
2021-10-07,62,57
2021-10-08,55,53
2021-10-09,54,45
2021-10-10,56,45
2021-10-11,58,53
2021-10-12,60,51
2021-10-13,55,47
2021-10-14,73,65
2021-10-15,71,74
2021-10-16,66,69
2021-10-17,62,56
2021-10-18,59,61
2021-10-19,64,60
2021-10-20,84,85
2021-10-21,96,99
2021-10-22,68,73
2021-10-23,55,60
2021-10-24,55,54
2021-10-25,76,66
2021-10-26,73,68
2021-10-27,76,69
2021-10-28,78,67
2021-10-29,99,88
2021-10-30,73,72
2021-10-31,72,64
2021-11-01,73,67
2021-11-02,90,75
2021-11-03,94,90
2021-11-04,84,79
2021-11-05,76,67
2021-11-06,64,61
2021-11-07,71,65
2021-11-08,98,98
2021-11-09,96,97
2021-11-10,86,84
2021-11-11,76,76
2021-11-12,72,72
2021-11-13,66,65
2021-11-14,71,65
2021-11-15,71,67
2021-11-16,84,84
2021-11-17,78,77
2021-11-18,76,76
2021-11-19,67,74
2021-11-20,62,63
2021-11-21,64,60
2021-11-22,66,62
2021-11-23,70,64
2021-11-24,65,61
2021-11-25,64,59
2021-11-26,69,67
2021-11-27,62,60
2021-11-28,65,56
2021-11-29,68,62
2021-11-30,78,70
2021-12-01,83,74
2021-12-02,66,61
2021-12-03,62,63
2021-12-04,88,91
2021-12-05,68,71
2021-12-06,70,68
2021-12-07,70,66
2021-12-08,64,62
2021-12-09,65,61
2021-12-10,69,61
2021-12-11,64,56
2021-12-12,57,54
2021-12-13,66,63
2021-12-14,73,67
2021-12-15,71,61
2021-12-16,68,60
2021-12-17,69,56
2021-12-18,60,52
2021-12-19,57,51
2021-12-20,63,56
2021-12-21,55,55
2021-12-22,64,54
2021-12-23,64,54
2021-12-24,62,53
2021-12-25,64,52
2021-12-26,63,51
2021-12-27,60,54
2021-12-28,59,58
2021-12-29,65,56
2021-12-30,65,57
2021-12-31,57,51
