date,eth,ethereum
2022-01-01,25,22
2022-01-02,30,23
2022-01-03,33,24
2022-01-04,66,49
2022-01-05,28,21
2022-01-06,32,28
2022-01-07,41,36
2022-01-08,37,31
2022-01-09,38,29
2022-01-10,37,30
2022-01-11,36,28
2022-01-12,37,28
2022-01-13,76,52
2022-01-14,29,20
2022-01-15,33,22
2022-01-16,64,42
2022-01-17,28,21
2022-01-18,31,20
2022-01-19,32,20
2022-01-20,32,22
2022-01-21,43,36
2022-01-22,50,44
2022-01-23,42,37
2022-01-24,100,100
2022-01-25,36,32
2022-01-26,35,29
2022-01-27,32,26
2022-01-28,34,26
2022-01-29,36,25
2022-01-30,32,24
2022-01-31,32,24
2022-02-01,35,27
2022-02-02,34,25
2022-02-03,30,24
2022-02-04,39,29
2022-02-05,41,29
2022-02-06,32,24
2022-02-07,36,29
2022-02-08,36,26
2022-02-09,35,24
2022-02-10,31,20
2022-02-11,30,23
2022-02-12,27,21
2022-02-13,28,19
2022-02-14,29,21
2022-02-15,31,23
2022-02-16,30,21
2022-02-17,29,21
2022-02-18,28,20
2022-02-19,28,19
2022-02-20,29,21
2022-02-21,29,22
2022-02-22,29,23
2022-02-23,27,21
2022-02-24,35,32
2022-02-25,28,24
2022-02-26,24,19
2022-02-27,25,20
2022-02-28,28,23
2022-03-01,28,25
2022-03-02,25,21
2022-03-03,25,20
2022-03-04,23,18
2022-03-05,21,17
2022-03-06,21,16
2022-03-07,23,20
2022-03-08,21,17
2022-03-09,24,20
2022-03-10,21,17
2022-03-11,21,17
2022-03-12,19,15
2022-03-13,18,14
2022-03-14,21,16
2022-03-15,20,16
2022-03-16,21,17
2022-03-17,25,18
2022-03-18,25,18
2022-03-19,22,18
2022-03-20,21,17
2022-03-21,21,17
2022-03-22,25,21
2022-03-23,22,18
2022-03-24,23,20
2022-03-25,22,20
2022-03-26,20,16
2022-03-27,22,19
2022-03-28,26,25
2022-03-29,26,23
2022-03-30,24,21
2022-03-31,23,18
2022-04-01,22,18
2022-04-02,22,18
2022-04-03,23,18
2022-04-04,22,19
2022-04-05,23,17
2022-04-06,24,18
2022-04-07,23,17
2022-04-08,21,16
2022-04-09,19,15
2022-04-10,20,14
2022-04-11,23,17
2022-04-12,20,16
2022-04-13,20,15
2022-04-14,19,16
2022-04-15,18,15
2022-04-16,16,13
2022-04-17,18,13
2022-04-18,20,16
2022-04-19,19,15
2022-04-20,19,14
2022-04-21,20,14
2022-04-22,20,14
2022-04-23,16,13
2022-04-24,16,12
2022-04-25,19,14
2022-04-26,20,15
2022-04-27,19,14
2022-04-28,19,14
2022-04-29,17,13
2022-04-30,18,13
2022-05-01,24,15
2022-05-02,19,14
2022-05-03,20,14
2022-05-04,19,14
2022-05-05,20,15
2022-05-06,18,15
2022-05-07,17,13
2022-05-08,18,15
2022-05-09,26,22
2022-05-10,23,20
2022-05-11,28,25
2022-05-12,37,39
2022-05-13,28,28
2022-05-14,19,21
2022-05-15,17,18
2022-05-16,18,19
2022-05-17,19,18
2022-05-18,17,17
2022-05-19,17,16
2022-05-20,16,15
2022-05-21,13,13
2022-05-22,14,12
2022-05-23,15,15
2022-05-24,15,15
2022-05-25,16,15
2022-05-26,18,17
2022-05-27,18,19
2022-05-28,14,15
2022-05-29,15,15
2022-05-30,16,16
2022-05-31,17,16
2022-06-01,15,14
2022-06-02,14,13
2022-06-03,14,13
2022-06-04,13,12
2022-06-05,16,12
2022-06-06,15,14
2022-06-07,16,15
2022-06-08,14,14
2022-06-09,14,13
2022-06-10,15,14
2022-06-11,21,22
2022-06-12,22,23
2022-06-13,40,44
2022-06-14,30,34
2022-06-15,31,34
2022-06-16,24,29
2022-06-17,19,24
2022-06-18,33,38
2022-06-19,25,33
2022-06-20,22,27
2022-06-21,18,22
2022-06-22,15,20
2022-06-23,14,18
2022-06-24,15,19
2022-06-25,14,16
2022-06-26,16,16
2022-06-27,15,17
2022-06-28,14,16
2022-06-29,15,17
2022-06-30,16,20
