date,trend_log_return
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,-0.1823215567939546
2013-07-21,0.0
2013-07-22,0.1823215567939546
2013-07-23,0.15415067982725836
2013-07-24,0.0
2013-07-25,-0.15415067982725836
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.15415067982725836
2013-07-31,0.13353139262452257
2013-08-01,-0.2876820724517809
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,0.15415067982725836
2013-08-06,-0.15415067982725836
2013-08-07,0.0
2013-08-08,0.15415067982725836
2013-08-09,0.0
2013-08-10,-0.15415067982725836
2013-08-11,0.0
2013-08-12,0.28768207245178085
2013-08-13,0.0
2013-08-14,0.11778303565638346
2013-08-15,0.0
2013-08-16,-0.11778303565638351
2013-08-17,0.0
2013-08-18,-0.13353139262452263
2013-08-19,0.25131442828090617
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,-0.11778303565638351
2013-08-23,-0.13353139262452263
2013-08-24,-0.15415067982725836
2013-08-25,0.0
2013-08-26,0.15415067982725836
2013-08-27,0.13353139262452257
2013-08-28,0.0
2013-08-29,-0.13353139262452263
2013-08-30,0.0
2013-08-31,-0.15415067982725836
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.15415067982725836
2013-09-06,-0.15415067982725836
2013-09-07,-0.1823215567939546
2013-09-08,0.1823215567939546
2013-09-09,0.15415067982725836
2013-09-10,-0.15415067982725836
2013-09-11,0.0
2013-09-12,-0.1823215567939546
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.1823215567939546
2013-09-17,-0.1823215567939546
2013-09-18,0.1823215567939546
2013-09-19,-0.1823215567939546
2013-09-20,0.3364722366212129
2013-09-21,-0.15415067982725836
2013-09-22,-0.1823215567939546
2013-09-23,0.1823215567939546
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,0.0
2013-10-01,0.0
2013-10-02,0.6931471805599453
2013-10-03,0.5596157879354227
2013-10-04,-0.4795730802618862
2013-10-05,-0.262364264467491
2013-10-06,-0.10536051565782628
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,-0.11778303565638351
2013-10-10,-0.13353139262452263
2013-10-11,-0.15415067982725836
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.15415067982725836
2013-10-15,0.0
2013-10-16,0.13353139262452257
2013-10-17,-0.13353139262452263
2013-10-18,0.0
2013-10-19,0.13353139262452257
2013-10-20,-0.13353139262452263
2013-10-21,0.13353139262452257
2013-10-22,0.11778303565638346
2013-10-23,0.10536051565782635
2013-10-24,-0.10536051565782628
2013-10-25,0.0
2013-10-26,0.20067069546215124
2013-10-27,-0.0953101798043249
2013-10-28,0.09531017980432493
2013-10-29,0.7375989431307791
2013-10-30,0.5280674302004967
2013-10-31,-0.40546510810816444
2013-11-01,-0.3677247801253174
2013-11-02,-0.1823215567939546
2013-11-03,0.06453852113757116
2013-11-04,-0.06453852113757118
2013-11-05,0.125163142954006
2013-11-06,0.16251892949777494
2013-11-07,0.1823215567939546
2013-11-08,0.0408219945202552
2013-11-09,-0.040821994520255166
2013-11-10,-0.2336148511815052
2013-11-11,-0.11122563511022437
2013-11-12,0.1112256351102244
2013-11-13,0.14660347419187544
2013-11-14,0.127833371509885
2013-11-15,0.03922071315328133
2013-11-16,-0.1670540846631662
2013-11-17,0.20479441264601322
2013-11-18,0.7646061445420904
2013-11-19,0.34627623671783375
2013-11-20,-0.3462762367178338
2013-11-21,-0.2318016140573243
2013-11-22,0.021506205220963682
2013-11-23,-0.16126814759612226
2013-11-24,-0.10536051565782628
2013-11-25,0.10536051565782635
2013-11-26,0.0
2013-11-27,0.5158131652770298
2013-11-28,0.40047756659712536
2013-11-29,-0.10536051565782628
2013-11-30,-0.29511705093929896
2013-12-01,-0.1442496088445468
2013-12-02,0.06669137449867214
2013-12-03,-0.08408311721054144
2013-12-04,-0.15123096972392353
2013-12-05,0.38484582090542874
2013-12-06,-0.07197349962508923
2013-12-07,0.014815085785140682
2013-12-08,-0.3276874070654801
2013-12-09,0.0
2013-12-10,-0.041672696400568074
2013-12-11,-0.0659579677917974
2013-12-12,-0.0953101798043249
2013-12-13,0.07232066157962608
2013-12-14,-0.26469255422708216
2013-12-15,0.1410785982599056
2013-12-16,0.07598590697792205
2013-12-17,0.024097551579060524
2013-12-18,0.5663954749208014
2013-12-19,-0.39204208777602373
2013-12-20,-0.2744368457017603
2013-12-21,-0.11122563511022437
2013-12-22,0.0
2013-12-23,-0.02985296314968116
2013-12-24,-0.12921173148000623
2013-12-25,-0.14842000511827333
2013-12-26,0.0769610411361284
2013-12-27,0.07145896398214505
2013-12-28,-0.14842000511827333
2013-12-29,-0.08338160893905101
2013-12-30,0.12260232209233228
2013-12-31,-0.1670540846631662
2014-01-01,-0.15415067982725836
2014-01-02,0.22314355131420976
2014-01-03,0.23638877806423034
2014-01-04,-0.3417492937220567
2014-01-05,0.16989903679539742
2014-01-06,0.24783616390458127
2014-01-07,-0.02469261259037152
2014-01-08,-0.025317807984289897
2014-01-09,0.0
2014-01-10,-0.05264373348542203
2014-01-11,-0.11441035117774422
2014-01-12,-0.0953101798043249
2014-01-13,0.03278982282299097
2014-01-14,0.03174869831458027
2014-01-15,0.08961215868968714
2014-01-16,0.13353139262452257
2014-01-17,0.024692612590371414
2014-01-18,-0.41773520069997866
2014-01-19,0.07145896398214505
2014-01-20,0.216223108469636
2014-01-21,0.08004270767353636
2014-01-22,0.050010420574661416
