date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2016-01-01,0.9296,0.9561,0.9279,0.9339,185524.07,173269.55,76166279.4057299,71131688.33701116,,,,,,,,,
2016-01-02,0.9339,0.965,0.9308,0.9316,258820.75,241125.32,76193663.31198,70982016.74144056,-0.002465828105486233,0.33295110611398926,-0.0021063647707475017,,,,,,
2016-01-03,0.9316,0.9915,0.9239,0.9695,394655.8,382621.05,76221339.09323,73896588.25088648,0.03987693667252062,0.4218782554568826,0.040240100155346306,,,,,,
2016-01-04,0.9695,0.9793,0.9152,0.9516,311584.35,296494.54,76248759.71823,72558319.74786766,-0.01863569625390386,-0.23634390452468587,-0.018276010971224037,,,,,,
2016-01-05,0.9516,0.9668,0.9348,0.9504,207104.5,196824.83,76276598.93698,72493279.62970579,-0.0012618298204220542,-0.40844659128932453,-0.0008967860099423307,,,,,,
2016-01-06,0.9504,0.9728,0.934,0.9551,308160.37,294332.58,76304224.4057299,72878164.72991262,0.0049330984323113225,0.3973968324850284,0.005295207751773021,0.021614211408390784,,,,,
2016-01-07,0.9551,1.036,0.9406,0.9493,611120.81,580132.62,76331246.5932301,72461252.39095333,-0.006091176152939032,0.6846743353834783,-0.005737101341813417,0.02196383869317395,,,0.016046371324461527,,
2016-01-08,0.9493,0.9959,0.9243,0.9854,506027.08,498661.92,76359243.31198,75244398.35962509,0.03732277922210998,-0.1887044790254912,0.03768949124302254,0.02091880090982312,,,-0.048749085575602154,,
2016-01-09,0.9854,0.9984,0.9688,0.9849,205396.27,202302.4,76386839.09323,75233397.82292221,-0.0005075369342060349,-0.9016490480008454,-0.00014620810513630414,0.01746188516238316,,,-0.18062780473069548,,
2016-01-10,0.9849,1.012,0.9749,0.9941,359003.4,356889.34,76414127.0619799,75963283.71231422,0.009297692042442678,0.558390721554365,0.009654862153687866,0.01685930440755918,,,-0.03511782018024016,,
2016-01-11,0.9941,1.07,0.9935,1.045,851063.83,889724.43,76441132.21823,79880983.16805033,0.04993435918081183,0.863155272440494,0.05028770203153523,0.024453100844317066,0.022891690640901467,,0.37185433702088916,,
2016-01-12,1.045,1.294,1.039,1.151,2377342.79,2737078.69,76467032.99948,88013554.98240148,0.09661424432297143,1.0272515365173216,0.09695301997253652,0.03835281384948444,0.03469779987771537,,0.45007086621166154,0.41590229023866054,
2016-01-13,1.151,1.166,1.073,1.131,822230.38,929599.59,76493568.31198,86514225.76084937,-0.017528932605762212,-1.0617180447248917,-0.01718197642830631,0.04588957112862131,0.03598002141694409,,0.17940998473444245,0.036287542925748754,
2016-01-14,1.131,1.168,1.092,1.163,592747.84,689331.54,76520487.53073,88993326.99823898,0.027900676402544036,-0.32725154252162303,0.028252529294482118,0.04322679554287867,0.03404509377285898,,-0.059777312563821676,-0.0552778904571176,
2016-01-15,1.163,1.28,1.004,1.217,3126847.65,3806281.0,76547284.87448,93158045.69224216,0.04538594046886288,1.6630115545454462,0.04573607745201351,0.0411939935941753,0.033994562150398346,,-0.0481681109816957,-0.0014853582389728482,
2016-01-16,1.217,1.374,1.197,1.217,1827954.91,2224121.0,76573807.99948,93190324.33536716,0.0,-0.53682755004436,0.0003464333328275634,0.044261908273356076,0.03434766045527888,,0.07183198959311564,0.010333332260282347,
2016-01-17,1.217,1.31,1.189,1.307,846723.45,1106906.71,76600407.84323,100116733.0511016,0.07134562063669468,-0.7695789493831873,0.07169293554046018,0.03537210191265053,0.035462474511144954,,-0.2242010208949006,0.03194117404733869,
2016-01-18,1.307,1.539,1.293,1.397,2859933.57,3996168.02,76627027.9994801,107047958.1152737,0.06659264563274,1.2171795402466932,0.06694010503348644,0.029325411850445713,0.03712188203992603,,-0.18746898908976736,0.04573152675980372,
2016-01-19,1.397,1.447,1.178,1.365,1741622.33,2377171.01,76653120.81198,104631509.90835269,-0.02317265163790173,-0.49598134488986284,-0.022832192511860208,0.04180887851988657,0.04009687287210044,,0.354654282971091,0.07709173989293223,
2016-01-20,1.365,1.641,1.456,1.527,1696944.19,2591060.93,76679663.31198,117089845.87739344,0.11215059759957234,-0.025987954136566977,0.11249680536481646,0.05554573090619384,0.046175580557936025,,0.2840979400007884,0.14115275096664107,
2016-01-21,1.527,1.559,1.403,1.554,984960.54,1530213.89,76705582.5307299,119200475.25275427,0.01752722570896032,-0.5439827977890603,0.017865188058001427,0.05243136259181305,0.04676225152876819,,-0.05770172673055264,0.01262518718928005,
2016-01-22,1.554,1.508,1.42,1.488,957978.3,1425225.7,76731837.53073,114176974.24572623,-0.0433993155345556,-0.02777645309860252,-0.04305709132033437,0.06398373374527724,0.04874091210506089,,0.19912395579722378,0.04144247551986578,
2016-01-23,1.488,2.052,1.511,2.014,3624503.79,7300350.96,76757607.2182299,154589820.93751502,0.30268985788547026,1.3306475460445353,0.3030256423791101,0.1415673706607681,0.09774934784660054,,0.7941468306937036,0.6958877654891203,
2016-01-24,2.014,2.331,1.956,2.118,4182718.04,8857393.07,76784846.4369799,162630304.75352344,0.05034945288284431,0.14324389060062226,0.050704263143945376,0.13259397526512878,0.09724537044862447,,-0.06548408020587321,-0.005169150473164222,
2016-01-25,2.118,2.69,2.02,2.47,4147619.27,10244900.14,76810547.2182301,189722051.62902835,0.15374590346067127,-0.008426784268776024,0.15408055908905216,0.13576564172177416,0.10139142738001918,,0.023638535332732462,0.041751168255769106,
2016-01-26,2.47,2.849,1.912,2.173,5320988.42,11560558.87,76837532.6869799,166967958.52880734,-0.12810944936559332,0.24912457957764503,-0.1277581860234945,0.168528552784075,0.11805307052466368,,0.21617501151539917,0.1521457285875738,
2016-01-27,2.173,2.629,2.066,2.407,2860419.26,6885749.64,76863637.2182301,185010774.78427985,0.10227245752664227,-0.6206908708357648,0.10261213654817856,0.15684663557479764,0.11884479969183342,,-0.0718367037082461,0.006684164059279147,
2016-01-28,2.407,2.665,2.233,2.518,1933455.27,4869375.72,76890198.1557299,193609518.95612788,0.045083776821220375,-0.3916595109083988,0.04542927633607055,0.10618469915188161,0.11892824405987852,,-0.39008846180789297,0.0007018825191798551,
2016-01-29,2.518,2.692,2.264,2.487,2527130.97,6285218.84,76916362.37448,191290993.22533175,-0.012387770800887729,0.26777595773282054,-0.012047548395389842,0.1090145693244156,0.11814747964548009,,0.026301514178452275,-0.006586648560325801,
2016-01-30,2.487,2.606,2.388,2.428,1484488.07,3604695.21,76942555.49948,186816524.75273743,-0.024009291624015824,-0.5320146765043657,-0.023668809244248915,0.0859873683516807,0.11930877921433504,,-0.23728113098970044,0.009781244201708447,
