date,eth,ethereum
2023-01-01,42,39
2023-01-02,45,44
2023-01-03,48,43
2023-01-04,53,55
2023-01-05,51,46
2023-01-06,49,43
2023-01-07,44,39
2023-01-08,45,36
2023-01-09,59,51
2023-01-10,55,49
2023-01-11,57,46
2023-01-12,63,64
2023-01-13,56,56
2023-01-14,69,80
2023-01-15,59,60
2023-01-16,68,73
2023-01-17,67,70
2023-01-18,65,63
2023-01-19,56,57
2023-01-20,61,61
2023-01-21,62,67
2023-01-22,61,59
2023-01-23,64,59
2023-01-24,60,62
2023-01-25,60,61
2023-01-26,61,54
2023-01-27,56,50
2023-01-28,51,40
2023-01-29,54,51
2023-01-30,60,55
2023-01-31,53,49
2023-02-01,54,50
2023-02-02,63,63
2023-02-03,53,52
2023-02-04,57,48
2023-02-05,53,46
2023-02-06,55,46
2023-02-07,56,47
2023-02-08,54,46
2023-02-09,56,46
2023-02-10,57,46
2023-02-11,49,43
2023-02-12,49,39
2023-02-13,55,42
2023-02-14,53,42
2023-02-15,59,46
2023-02-16,67,64
2023-02-17,58,49
2023-02-18,57,48
2023-02-19,53,46
2023-02-20,61,52
2023-02-21,61,50
2023-02-22,58,43
2023-02-23,61,43
2023-02-24,53,41
2023-02-25,49,40
2023-02-26,55,38
2023-02-27,58,40
2023-02-28,61,44
2023-03-01,55,42
2023-03-02,53,39
2023-03-03,55,41
2023-03-04,48,35
2023-03-05,49,35
2023-03-06,56,37
2023-03-07,50,37
2023-03-08,50,34
2023-03-09,55,39
2023-03-10,64,51
2023-03-11,61,42
2023-03-12,50,38
2023-03-13,67,60
2023-03-14,73,67
2023-03-15,66,58
2023-03-16,56,46
2023-03-17,71,64
2023-03-18,62,63
2023-03-19,56,61
2023-03-20,68,67
2023-03-21,65,64
2023-03-22,59,61
2023-03-23,63,59
2023-03-24,66,54
2023-03-25,54,42
2023-03-26,58,46
2023-03-27,60,51
2023-03-28,59,47
2023-03-29,60,54
2023-03-30,60,50
2023-03-31,58,48
2023-04-01,52,42
2023-04-02,51,41
2023-04-03,56,44
2023-04-04,57,53
2023-04-05,71,65
2023-04-06,63,54
2023-04-07,56,46
2023-04-08,50,42
2023-04-09,51,42
2023-04-10,59,53
2023-04-11,73,73
2023-04-12,83,77
2023-04-13,95,87
2023-04-14,100,100
2023-04-15,64,73
2023-04-16,61,62
2023-04-17,67,66
2023-04-18,67,66
2023-04-19,73,65
2023-04-20,65,56
2023-04-21,59,52
2023-04-22,58,43
2023-04-23,54,43
2023-04-24,58,48
2023-04-25,54,44
2023-04-26,61,53
2023-04-27,59,47
2023-04-28,53,44
2023-04-29,46,40
2023-04-30,53,38
2023-05-01,59,43
2023-05-02,62,41
2023-05-03,55,41
2023-05-04,53,40
2023-05-05,64,44
2023-05-06,64,40
2023-05-07,58,40
2023-05-08,67,43
2023-05-09,55,37
2023-05-10,61,40
2023-05-11,54,40
2023-05-12,52,38
2023-05-13,46,35
2023-05-14,47,33
2023-05-15,51,37
2023-05-16,52,37
2023-05-17,52,39
2023-05-18,48,36
2023-05-19,49,36
2023-05-20,43,32
2023-05-21,46,30
2023-05-22,49,35
2023-05-23,50,38
2023-05-24,49,33
2023-05-25,48,34
2023-05-26,52,33
2023-05-27,43,30
2023-05-28,45,34
2023-05-29,48,36
2023-05-30,52,36
2023-05-31,51,34
2023-06-01,50,36
2023-06-02,49,35
2023-06-03,45,33
2023-06-04,47,33
2023-06-05,52,38
2023-06-06,51,40
2023-06-07,50,37
2023-06-08,47,33
2023-06-09,47,33
2023-06-10,50,34
2023-06-11,43,36
2023-06-12,50,38
2023-06-13,47,36
2023-06-14,48,35
2023-06-15,55,41
2023-06-16,50,34
2023-06-17,42,34
2023-06-18,44,33
2023-06-19,45,36
2023-06-20,49,38
2023-06-21,59,43
2023-06-22,55,43
2023-06-23,54,45
2023-06-24,45,40
2023-06-25,46,38
2023-06-26,52,39
2023-06-27,49,38
2023-06-28,47,36
2023-06-29,50,35
2023-06-30,52,39
