date,dogecoin,trend_relative_diff,trend_log_return
2014-01-01,25,-0.10714285714285714,-0.11332868530700312
2014-01-02,26,0.04,0.03922071315328133
2014-01-03,27,0.038461538461538464,0.03774032798284711
2014-01-04,22,-0.18518518518518517,-0.20479441264601328
2014-01-05,24,0.09090909090909091,0.0870113769896297
2014-01-06,21,-0.125,-0.13353139262452263
2014-01-07,20,-0.047619047619047616,-0.048790164169432056
2014-01-08,20,0.0,0.0
2014-01-09,20,0.0,0.0
2014-01-10,21,0.05,0.04879016416943205
2014-01-11,21,0.0,0.0
2014-01-12,19,-0.09523809523809523,-0.10008345855698253
2014-01-13,17,-0.10526315789473684,-0.11122563511022437
2014-01-14,35,1.0588235294117647,0.7221347174331975
2014-01-15,33,-0.05714285714285714,-0.058840500022933465
2014-01-16,29,-0.12121212121212122,-0.12921173148000623
2014-01-17,26,-0.10344827586206896,-0.10919929196499197
2014-01-18,30,0.15384615384615385,0.14310084364067324
2014-01-19,36,0.2,0.1823215567939546
2014-01-20,82,1.2777777777777777,0.8232003088081431
2014-01-21,100,0.21951219512195122,0.19845093872383823
2014-01-22,77,-0.23,-0.2613647641344075
2014-01-23,67,-0.12987012987012986,-0.13911280246271784
2014-01-24,62,-0.07462686567164178,-0.0775582343458745
2014-01-25,57,-0.08064516129032258,-0.08408311721054144
2014-01-26,47,-0.17543859649122806,-0.19290366612449156
2014-01-27,44,-0.06382978723404255,-0.0659579677917974
2014-01-28,47,0.06818181818181818,0.06595796779179737
2014-01-29,45,-0.0425531914893617,-0.04348511193973878
2014-01-30,51,0.13333333333333333,0.125163142954006
2014-01-31,54,0.058823529411764705,0.05715841383994862
2014-02-01,47,-0.12962962962962962,-0.1388364448542158
2014-02-02,43,-0.0851063829787234,-0.08894748601649617
2014-02-03,38,-0.11627906976744186,-0.12361395596717664
2014-02-04,47,0.23684210526315788,0.21256144198367288
2014-02-05,45,-0.0425531914893617,-0.04348511193973878
2014-02-06,41,-0.08888888888888889,-0.09309042306601198
2014-02-07,46,0.12195121951219512,0.11506932978478729
2014-02-08,40,-0.13043478260869565,-0.13976194237515874
2014-02-09,42,0.05,0.04879016416943205
2014-02-10,49,0.16666666666666666,0.15415067982725836
2014-02-11,51,0.04081632653061224,0.040005334613699206
2014-02-12,61,0.19607843137254902,0.17904823144898546
2014-02-13,50,-0.18032786885245902,-0.19885085874516517
2014-02-14,52,0.04,0.03922071315328133
2014-02-15,39,-0.25,-0.2876820724517809
2014-02-16,36,-0.07692307692307693,-0.08004270767353637
2014-02-17,45,0.25,0.22314355131420976
2014-02-18,41,-0.08888888888888889,-0.09309042306601198
2014-02-19,36,-0.12195121951219512,-0.13005312824819779
2014-02-20,34,-0.05555555555555555,-0.05715841383994864
2014-02-21,32,-0.058823529411764705,-0.060624621816434854
2014-02-22,32,0.0,0.0
2014-02-23,32,0.0,0.0
2014-02-24,31,-0.03125,-0.0317486983145803
2014-02-25,37,0.1935483870967742,0.17693070815907824
2014-02-26,35,-0.05405405405405406,-0.055569851154810765
2014-02-27,32,-0.08571428571428572,-0.08961215868968717
2014-02-28,34,0.0625,0.06062462181643484
2014-03-01,28,-0.17647058823529413,-0.1941560144409575
2014-03-02,26,-0.07142857142857142,-0.07410797215372185
2014-03-03,25,-0.038461538461538464,-0.03922071315328127
2014-03-04,27,0.08,0.0769610411361284
2014-03-05,23,-0.14814814814814814,-0.16034265007517937
2014-03-06,24,0.043478260869565216,0.0425596144187959
2014-03-07,24,0.0,0.0
2014-03-08,22,-0.08333333333333333,-0.08701137698962981
2014-03-09,21,-0.045454545454545456,-0.04652001563489282
2014-03-10,22,0.047619047619047616,0.04652001563489291
2014-03-11,20,-0.09090909090909091,-0.0953101798043249
2014-03-12,21,0.05,0.04879016416943205
2014-03-13,21,0.0,0.0
2014-03-14,17,-0.19047619047619047,-0.2113090936672069
2014-03-15,19,0.11764705882352941,0.1112256351102244
2014-03-16,20,0.05263157894736842,0.05129329438755048
2014-03-17,20,0.0,0.0
2014-03-18,20,0.0,0.0
2014-03-19,20,0.0,0.0
2014-03-20,27,0.35,0.30010459245033816
2014-03-21,23,-0.14814814814814814,-0.16034265007517937
2014-03-22,23,0.0,0.0
2014-03-23,21,-0.08695652173913043,-0.09097177820572676
2014-03-24,21,0.0,0.0
2014-03-25,24,0.14285714285714285,0.13353139262452257
2014-03-26,22,-0.08333333333333333,-0.08701137698962981
2014-03-27,24,0.09090909090909091,0.0870113769896297
2014-03-28,21,-0.125,-0.13353139262452263
2014-03-29,19,-0.09523809523809523,-0.10008345855698253
2014-03-30,18,-0.05263157894736842,-0.05406722127027582
2014-03-31,16,-0.1111111111111111,-0.11778303565638351
2014-04-01,17,0.0625,0.06062462181643484
2014-04-02,16,-0.058823529411764705,-0.060624621816434854
2014-04-03,16,0.0,0.0
2014-04-04,17,0.0625,0.06062462181643484
2014-04-05,14,-0.17647058823529413,-0.1941560144409575
2014-04-06,15,0.07142857142857142,0.06899287148695142
2014-04-07,13,-0.13333333333333333,-0.1431008436406733
2014-04-08,13,0.0,0.0
2014-04-09,13,0.0,0.0
2014-04-10,15,0.15384615384615385,0.14310084364067324
2014-04-11,13,-0.13333333333333333,-0.1431008436406733
2014-04-12,12,-0.07692307692307693,-0.08004270767353637
2014-04-13,15,0.25,0.22314355131420976
2014-04-14,13,-0.13333333333333333,-0.1431008436406733
2014-04-15,13,0.0,0.0
2014-04-16,17,0.3076923076923077,0.26826398659467937
2014-04-17,13,-0.23529411764705882,-0.2682639865946794
