date,eth,ethereum
2024-01-01,19,22
2024-01-02,24,32
2024-01-03,23,31
2024-01-04,22,26
2024-01-05,22,23
2024-01-06,19,20
2024-01-07,20,21
2024-01-08,22,26
2024-01-09,24,27
2024-01-10,34,40
2024-01-11,45,60
2024-01-12,33,46
2024-01-13,23,33
2024-01-14,22,29
2024-01-15,23,29
2024-01-16,23,30
2024-01-17,23,26
2024-01-18,21,24
2024-01-19,22,25
2024-01-20,18,20
2024-01-21,18,20
2024-01-22,22,24
2024-01-23,22,25
2024-01-24,20,22
2024-01-25,20,20
2024-01-26,21,20
2024-01-27,19,17
2024-01-28,19,17
2024-01-29,20,19
2024-01-30,23,21
2024-01-31,22,21
2024-02-01,21,20
2024-02-02,21,20
2024-02-03,19,16
2024-02-04,19,16
2024-02-05,22,17
2024-02-06,23,18
2024-02-07,24,19
2024-02-08,26,22
2024-02-09,27,25
2024-02-10,23,22
2024-02-11,24,24
2024-02-12,27,28
2024-02-13,29,30
2024-02-14,31,35
2024-02-15,32,37
2024-02-16,28,32
2024-02-17,23,24
2024-02-18,23,24
2024-02-19,35,36
2024-02-20,35,37
2024-02-21,34,34
2024-02-22,33,34
2024-02-23,27,27
2024-02-24,27,24
2024-02-25,30,30
2024-02-26,40,43
2024-02-27,47,54
2024-02-28,62,67
2024-02-29,58,65
2024-03-01,46,51
2024-03-02,36,43
2024-03-03,36,41
2024-03-04,56,64
2024-03-05,64,77
2024-03-06,58,70
2024-03-07,50,58
2024-03-08,52,63
2024-03-09,42,49
2024-03-10,39,52
2024-03-11,56,70
2024-03-12,50,63
2024-03-13,53,64
2024-03-14,45,52
2024-03-15,43,50
2024-03-16,34,40
2024-03-17,30,41
2024-03-18,36,42
2024-03-19,44,48
2024-03-20,45,50
2024-03-21,36,42
2024-03-22,30,34
2024-03-23,27,30
2024-03-24,28,29
2024-03-25,34,40
2024-03-26,34,38
2024-03-27,32,35
2024-03-28,32,35
2024-03-29,28,30
2024-03-30,25,24
2024-03-31,29,26
2024-04-01,25,28
2024-04-02,28,30
2024-04-03,26,27
2024-04-04,26,26
2024-04-05,27,25
2024-04-06,22,22
2024-04-07,24,24
2024-04-08,33,33
2024-04-09,28,27
2024-04-10,26,26
2024-04-11,26,25
2024-04-12,27,28
2024-04-13,26,29
2024-04-14,30,30
2024-04-15,29,31
2024-04-16,26,26
2024-04-17,26,24
2024-04-18,24,25
2024-04-19,25,25
2024-04-20,25,23
2024-04-21,22,22
2024-04-22,24,24
2024-04-23,24,21
2024-04-24,25,22
2024-04-25,21,20
2024-04-26,24,21
2024-04-27,20,19
2024-04-28,23,22
2024-04-29,22,20
2024-04-30,24,22
2024-05-01,24,23
2024-05-02,23,22
2024-05-03,23,20
2024-05-04,20,19
2024-05-05,19,19
2024-05-06,22,20
2024-05-07,22,19
2024-05-08,22,19
2024-05-09,21,18
2024-05-10,21,20
2024-05-11,18,17
2024-05-12,17,16
2024-05-13,21,17
2024-05-14,20,17
2024-05-15,22,20
2024-05-16,22,20
2024-05-17,22,21
2024-05-18,20,19
2024-05-19,18,18
2024-05-20,34,36
2024-05-21,61,70
2024-05-22,48,51
2024-05-23,100,100
2024-05-24,57,63
2024-05-25,28,33
2024-05-26,31,30
2024-05-27,41,41
2024-05-28,30,34
2024-05-29,27,31
2024-05-30,26,25
2024-05-31,25,24
2024-06-01,22,22
2024-06-02,21,22
2024-06-03,25,26
2024-06-04,24,24
2024-06-05,28,26
2024-06-06,28,28
2024-06-07,25,32
2024-06-08,22,23
2024-06-09,20,20
2024-06-10,23,22
2024-06-11,25,23
2024-06-12,25,23
2024-06-13,24,22
2024-06-14,23,21
2024-06-15,20,20
2024-06-16,20,20
2024-06-17,22,21
2024-06-18,24,21
2024-06-19,24,22
2024-06-20,22,24
2024-06-21,21,18
2024-06-22,18,17
2024-06-23,19,18
2024-06-24,24,22
2024-06-25,21,20
2024-06-26,21,18
2024-06-27,21,19
2024-06-28,20,18
2024-06-29,16,16
2024-06-30,17,17
