date,btc,bitcoin
2022-01-01,21,20
2022-01-02,20,20
2022-01-03,21,21
2022-01-04,44,43
2022-01-05,20,19
2022-01-06,29,28
2022-01-07,32,34
2022-01-08,29,30
2022-01-09,27,27
2022-01-10,31,29
2022-01-11,26,27
2022-01-12,24,24
2022-01-13,48,46
2022-01-14,18,18
2022-01-15,19,19
2022-01-16,35,35
2022-01-17,17,18
2022-01-18,18,20
2022-01-19,18,19
2022-01-20,19,20
2022-01-21,40,39
2022-01-22,54,52
2022-01-23,39,37
2022-01-24,100,100
2022-01-25,30,33
2022-01-26,31,30
2022-01-27,27,28
2022-01-28,25,28
2022-01-29,24,25
2022-01-30,22,24
2022-01-31,24,25
2022-02-01,24,27
2022-02-02,23,25
2022-02-03,22,23
2022-02-04,28,25
2022-02-05,27,26
2022-02-06,22,22
2022-02-07,30,29
2022-02-08,27,26
2022-02-09,24,25
2022-02-10,21,20
2022-02-11,23,23
2022-02-12,21,19
2022-02-13,20,19
2022-02-14,21,20
2022-02-15,23,22
2022-02-16,19,19
2022-02-17,22,21
2022-02-18,23,22
2022-02-19,20,19
2022-02-20,22,21
2022-02-21,26,23
2022-02-22,25,25
2022-02-23,23,21
2022-02-24,43,45
2022-02-25,28,30
2022-02-26,23,22
2022-02-27,24,22
2022-02-28,28,27
2022-03-01,33,29
2022-03-02,27,26
2022-03-03,23,23
2022-03-04,24,22
2022-03-05,21,20
2022-03-06,20,19
2022-03-07,24,23
2022-03-08,21,21
2022-03-09,26,23
2022-03-10,22,22
2022-03-11,20,20
2022-03-12,18,19
2022-03-13,18,17
2022-03-14,19,19
2022-03-15,18,18
2022-03-16,23,19
2022-03-17,20,18
2022-03-18,19,18
2022-03-19,19,16
2022-03-20,17,16
2022-03-21,18,16
2022-03-22,20,19
2022-03-23,18,17
2022-03-24,20,19
2022-03-25,22,19
2022-03-26,17,17
2022-03-27,20,18
2022-03-28,27,23
2022-03-29,23,20
2022-03-30,21,18
2022-03-31,20,18
2022-04-01,20,17
2022-04-02,17,16
2022-04-03,16,16
2022-04-04,18,17
2022-04-05,17,16
2022-04-06,20,18
2022-04-07,18,17
2022-04-08,17,17
2022-04-09,16,15
2022-04-10,15,15
2022-04-11,22,19
2022-04-12,21,18
2022-04-13,19,17
2022-04-14,18,16
2022-04-15,17,15
2022-04-16,15,13
2022-04-17,15,14
2022-04-18,20,16
2022-04-19,17,16
2022-04-20,16,14
2022-04-21,17,15
2022-04-22,17,15
2022-04-23,16,14
2022-04-24,15,13
2022-04-25,19,16
2022-04-26,18,16
2022-04-27,17,16
2022-04-28,17,16
2022-04-29,17,15
2022-04-30,17,14
2022-05-01,18,14
2022-05-02,17,15
2022-05-03,16,15
2022-05-04,19,15
2022-05-05,22,18
2022-05-06,24,20
2022-05-07,21,15
2022-05-08,24,19
2022-05-09,40,32
2022-05-10,35,32
2022-05-11,47,37
2022-05-12,65,55
2022-05-13,45,42
2022-05-14,31,31
2022-05-15,27,26
2022-05-16,27,27
2022-05-17,23,26
2022-05-18,24,24
2022-05-19,24,24
2022-05-20,23,22
2022-05-21,19,19
2022-05-22,20,18
2022-05-23,21,21
2022-05-24,21,20
2022-05-25,19,19
2022-05-26,21,19
2022-05-27,22,20
2022-05-28,17,17
2022-05-29,16,16
2022-05-30,22,19
2022-05-31,23,19
2022-06-01,19,17
2022-06-02,18,16
2022-06-03,18,17
2022-06-04,16,15
2022-06-05,16,15
2022-06-06,20,17
2022-06-07,20,18
2022-06-08,17,16
2022-06-09,16,15
2022-06-10,18,15
2022-06-11,19,15
2022-06-12,24,21
2022-06-13,58,54
2022-06-14,51,51
2022-06-15,50,50
2022-06-16,41,42
2022-06-17,35,35
2022-06-18,59,52
2022-06-19,54,51
2022-06-20,40,41
2022-06-21,35,34
2022-06-22,31,30
2022-06-23,27,27
2022-06-24,26,26
2022-06-25,23,22
2022-06-26,21,21
2022-06-27,25,25
2022-06-28,21,22
2022-06-29,23,24
2022-06-30,29,28
