date,btc,bitcoin
2024-01-01,25,29
2024-01-02,41,44
2024-01-03,43,51
2024-01-04,35,42
2024-01-05,34,42
2024-01-06,28,33
2024-01-07,26,34
2024-01-08,45,46
2024-01-09,51,55
2024-01-10,65,81
2024-01-11,71,86
2024-01-12,52,57
2024-01-13,35,42
2024-01-14,28,36
2024-01-15,31,38
2024-01-16,30,35
2024-01-17,28,33
2024-01-18,28,34
2024-01-19,30,34
2024-01-20,24,28
2024-01-21,22,27
2024-01-22,30,33
2024-01-23,35,38
2024-01-24,29,32
2024-01-25,26,31
2024-01-26,27,30
2024-01-27,24,24
2024-01-28,23,24
2024-01-29,25,26
2024-01-30,26,29
2024-01-31,25,26
2024-02-01,23,25
2024-02-02,23,24
2024-02-03,22,23
2024-02-04,20,23
2024-02-05,22,24
2024-02-06,22,24
2024-02-07,23,24
2024-02-08,27,28
2024-02-09,38,35
2024-02-10,29,28
2024-02-11,30,29
2024-02-12,43,41
2024-02-13,45,42
2024-02-14,47,45
2024-02-15,45,44
2024-02-16,33,37
2024-02-17,31,31
2024-02-18,28,31
2024-02-19,31,33
2024-02-20,32,34
2024-02-21,31,32
2024-02-22,29,31
2024-02-23,29,29
2024-02-24,26,27
2024-02-25,26,26
2024-02-26,39,36
2024-02-27,59,58
2024-02-28,98,93
2024-02-29,81,83
2024-03-01,56,59
2024-03-02,47,48
2024-03-03,44,45
2024-03-04,89,85
2024-03-05,100,100
2024-03-06,75,73
2024-03-07,56,62
2024-03-08,64,61
2024-03-09,50,53
2024-03-10,53,53
2024-03-11,77,82
2024-03-12,61,73
2024-03-13,63,66
2024-03-14,58,59
2024-03-15,63,65
2024-03-16,52,50
2024-03-17,51,50
2024-03-18,48,50
2024-03-19,61,66
2024-03-20,57,63
2024-03-21,47,50
2024-03-22,41,45
2024-03-23,38,40
2024-03-24,36,38
2024-03-25,49,50
2024-03-26,44,48
2024-03-27,43,46
2024-03-28,42,46
2024-03-29,37,43
2024-03-30,32,38
2024-03-31,33,33
2024-04-01,38,41
2024-04-02,46,50
2024-04-03,38,42
2024-04-04,37,41
2024-04-05,35,39
2024-04-06,30,32
2024-04-07,33,34
2024-04-08,42,45
2024-04-09,37,40
2024-04-10,37,41
2024-04-11,36,41
2024-04-12,44,44
2024-04-13,53,49
2024-04-14,54,56
2024-04-15,48,54
2024-04-16,45,48
2024-04-17,46,49
2024-04-18,46,53
2024-04-19,67,77
2024-04-20,62,69
2024-04-21,39,42
2024-04-22,41,43
2024-04-23,37,37
2024-04-24,33,36
2024-04-25,33,35
2024-04-26,29,32
2024-04-27,28,30
2024-04-28,27,28
2024-04-29,31,30
2024-04-30,37,38
2024-05-01,49,47
2024-05-02,39,37
2024-05-03,36,35
2024-05-04,31,31
2024-05-05,29,28
2024-05-06,32,31
2024-05-07,29,31
2024-05-08,27,30
2024-05-09,27,27
2024-05-10,28,29
2024-05-11,24,27
2024-05-12,24,25
2024-05-13,29,29
2024-05-14,26,27
2024-05-15,30,30
2024-05-16,32,33
2024-05-17,30,31
2024-05-18,26,27
2024-05-19,26,26
2024-05-20,35,32
2024-05-21,44,42
2024-05-22,34,35
2024-05-23,32,32
2024-05-24,29,30
2024-05-25,26,25
2024-05-26,24,27
2024-05-27,27,28
2024-05-28,28,28
2024-05-29,26,27
2024-05-30,26,26
2024-05-31,25,25
2024-06-01,21,23
2024-06-02,22,23
2024-06-03,27,27
2024-06-04,27,28
2024-06-05,33,32
2024-06-06,31,30
2024-06-07,32,30
2024-06-08,26,26
2024-06-09,23,24
2024-06-10,26,26
2024-06-11,30,30
2024-06-12,30,30
2024-06-13,29,27
2024-06-14,28,28
2024-06-15,21,24
2024-06-16,21,23
2024-06-17,26,27
2024-06-18,28,29
2024-06-19,25,26
2024-06-20,26,24
2024-06-21,26,25
2024-06-22,22,21
2024-06-23,22,22
2024-06-24,37,34
2024-06-25,30,30
2024-06-26,26,26
2024-06-27,25,24
2024-06-28,24,25
2024-06-29,21,20
2024-06-30,22,21
