date,btc,bitcoin
2023-01-01,38,53
2023-01-02,45,58
2023-01-03,44,55
2023-01-04,45,59
2023-01-05,43,53
2023-01-06,43,55
2023-01-07,40,48
2023-01-08,39,48
2023-01-09,51,57
2023-01-10,46,56
2023-01-11,49,58
2023-01-12,67,70
2023-01-13,67,68
2023-01-14,93,93
2023-01-15,66,71
2023-01-16,74,78
2023-01-17,67,73
2023-01-18,68,70
2023-01-19,60,68
2023-01-20,64,70
2023-01-21,80,82
2023-01-22,66,70
2023-01-23,68,74
2023-01-24,64,70
2023-01-25,61,66
2023-01-26,59,70
2023-01-27,57,67
2023-01-28,54,57
2023-01-29,57,66
2023-01-30,65,65
2023-01-31,59,65
2023-02-01,62,66
2023-02-02,68,73
2023-02-03,59,64
2023-02-04,52,58
2023-02-05,52,58
2023-02-06,54,58
2023-02-07,50,57
2023-02-08,49,58
2023-02-09,54,61
2023-02-10,56,60
2023-02-11,46,52
2023-02-12,45,50
2023-02-13,51,56
2023-02-14,50,57
2023-02-15,56,62
2023-02-16,74,78
2023-02-17,60,63
2023-02-18,53,59
2023-02-19,51,57
2023-02-20,58,67
2023-02-21,57,62
2023-02-22,53,60
2023-02-23,59,57
2023-02-24,52,58
2023-02-25,52,54
2023-02-26,48,51
2023-02-27,49,56
2023-02-28,46,54
2023-03-01,47,51
2023-03-02,46,54
2023-03-03,56,64
2023-03-04,48,53
2023-03-05,43,49
2023-03-06,43,50
2023-03-07,44,51
2023-03-08,46,54
2023-03-09,53,61
2023-03-10,75,79
2023-03-11,60,65
2023-03-12,58,62
2023-03-13,89,89
2023-03-14,100,98
2023-03-15,77,82
2023-03-16,65,73
2023-03-17,98,83
2023-03-18,82,83
2023-03-19,83,80
2023-03-20,92,100
2023-03-21,87,86
2023-03-22,83,85
2023-03-23,80,84
2023-03-24,78,82
2023-03-25,61,70
2023-03-26,59,68
2023-03-27,68,75
2023-03-28,63,74
2023-03-29,69,74
2023-03-30,71,74
2023-03-31,62,70
2023-04-01,56,65
2023-04-02,57,62
2023-04-03,59,67
2023-04-04,65,67
2023-04-05,68,66
2023-04-06,57,65
2023-04-07,53,62
2023-04-08,51,57
2023-04-09,45,56
2023-04-10,62,64
2023-04-11,93,93
2023-04-12,77,80
2023-04-13,67,73
2023-04-14,73,81
2023-04-15,57,66
2023-04-16,53,67
2023-04-17,63,70
2023-04-18,61,69
2023-04-19,64,69
2023-04-20,59,73
2023-04-21,59,70
2023-04-22,53,60
2023-04-23,52,60
2023-04-24,55,64
2023-04-25,54,64
2023-04-26,69,77
2023-04-27,62,64
2023-04-28,57,62
2023-04-29,47,56
2023-04-30,49,55
2023-05-01,58,65
2023-05-02,54,61
2023-05-03,52,61
2023-05-04,51,59
2023-05-05,52,57
2023-05-06,48,58
2023-05-07,46,54
2023-05-08,60,66
2023-05-09,54,63
2023-05-10,58,62
2023-05-11,53,62
2023-05-12,54,61
2023-05-13,45,52
2023-05-14,43,49
2023-05-15,48,52
2023-05-16,47,54
2023-05-17,46,53
2023-05-18,48,54
2023-05-19,46,53
2023-05-20,41,48
2023-05-21,42,49
2023-05-22,46,56
2023-05-23,44,55
2023-05-24,44,54
2023-05-25,47,54
2023-05-26,44,53
2023-05-27,39,48
2023-05-28,44,50
2023-05-29,45,55
2023-05-30,46,53
2023-05-31,46,53
2023-06-01,45,53
2023-06-02,45,51
2023-06-03,40,48
2023-06-04,40,47
2023-06-05,53,60
2023-06-06,60,65
2023-06-07,51,57
2023-06-08,46,55
2023-06-09,44,53
2023-06-10,56,58
2023-06-11,48,57
2023-06-12,49,57
2023-06-13,48,53
2023-06-14,48,56
2023-06-15,55,62
2023-06-16,49,56
2023-06-17,44,51
2023-06-18,42,50
2023-06-19,44,55
2023-06-20,52,57
2023-06-21,82,77
2023-06-22,72,74
2023-06-23,67,72
2023-06-24,63,68
2023-06-25,54,61
2023-06-26,56,66
2023-06-27,57,60
2023-06-28,52,61
2023-06-29,54,61
2023-06-30,61,66
