date,eth,ethereum
2023-07-01,46,44
2023-07-02,47,45
2023-07-03,56,50
2023-07-04,54,44
2023-07-05,51,47
2023-07-06,54,43
2023-07-07,52,44
2023-07-08,42,38
2023-07-09,45,42
2023-07-10,51,46
2023-07-11,53,46
2023-07-12,51,43
2023-07-13,56,49
2023-07-14,67,62
2023-07-15,46,48
2023-07-16,45,43
2023-07-17,54,45
2023-07-18,56,48
2023-07-19,55,47
2023-07-20,52,48
2023-07-21,50,43
2023-07-22,42,39
2023-07-23,45,41
2023-07-24,50,43
2023-07-25,55,44
2023-07-26,52,39
2023-07-27,48,47
2023-07-28,55,43
2023-07-29,44,37
2023-07-30,45,38
2023-07-31,50,41
2023-08-01,51,40
2023-08-02,49,44
2023-08-03,48,38
2023-08-04,48,44
2023-08-05,42,35
2023-08-06,45,35
2023-08-07,51,40
2023-08-08,54,41
2023-08-09,48,43
2023-08-10,52,39
2023-08-11,47,39
2023-08-12,44,33
2023-08-13,42,42
2023-08-14,48,38
2023-08-15,50,38
2023-08-16,48,40
2023-08-17,58,44
2023-08-18,59,50
2023-08-19,49,41
2023-08-20,48,39
2023-08-21,55,43
2023-08-22,53,41
2023-08-23,54,41
2023-08-24,50,38
2023-08-25,47,37
2023-08-26,41,34
2023-08-27,43,35
2023-08-28,48,37
2023-08-29,63,41
2023-08-30,50,43
2023-08-31,52,38
2023-09-01,50,37
2023-09-02,39,34
2023-09-03,41,33
2023-09-04,46,35
2023-09-05,46,37
2023-09-06,49,35
2023-09-07,48,37
2023-09-08,45,34
2023-09-09,36,30
2023-09-10,39,29
2023-09-11,55,39
2023-09-12,51,37
2023-09-13,50,38
2023-09-14,51,37
2023-09-15,48,36
2023-09-16,44,33
2023-09-17,43,30
2023-09-18,54,37
2023-09-19,53,37
2023-09-20,53,38
2023-09-21,57,35
2023-09-22,48,37
2023-09-23,43,32
2023-09-24,44,29
2023-09-25,54,35
2023-09-26,56,36
2023-09-27,48,33
2023-09-28,55,39
2023-09-29,48,38
2023-09-30,42,34
2023-10-01,44,37
2023-10-02,56,44
2023-10-03,49,36
2023-10-04,49,39
2023-10-05,47,36
2023-10-06,46,37
2023-10-07,39,31
2023-10-08,39,30
2023-10-09,53,37
2023-10-10,50,34
2023-10-11,54,38
2023-10-12,50,35
2023-10-13,45,37
2023-10-14,36,31
2023-10-15,39,31
2023-10-16,52,39
2023-10-17,48,35
2023-10-18,47,39
2023-10-19,46,36
2023-10-20,53,40
2023-10-21,40,35
2023-10-22,41,35
2023-10-23,64,49
2023-10-24,81,83
2023-10-25,63,62
2023-10-26,60,55
2023-10-27,52,43
2023-10-28,45,41
2023-10-29,46,40
2023-10-30,55,44
2023-10-31,56,44
2023-11-01,56,46
2023-11-02,60,50
2023-11-03,53,47
2023-11-04,47,41
2023-11-05,57,45
2023-11-06,64,51
2023-11-07,58,47
2023-11-08,56,47
2023-11-09,96,93
2023-11-10,99,98
2023-11-11,69,63
2023-11-12,62,58
2023-11-13,68,62
2023-11-14,65,58
2023-11-15,63,63
2023-11-16,61,57
2023-11-17,68,57
2023-11-18,53,45
2023-11-19,55,47
2023-11-20,59,48
2023-11-21,60,51
2023-11-22,68,52
2023-11-23,61,52
2023-11-24,67,55
2023-11-25,52,50
2023-11-26,52,43
2023-11-27,61,45
2023-11-28,64,48
2023-11-29,63,48
2023-11-30,58,43
2023-12-01,60,54
2023-12-02,59,58
2023-12-03,67,57
2023-12-04,100,100
2023-12-05,95,91
2023-12-06,84,88
2023-12-07,81,83
2023-12-08,90,95
2023-12-09,71,78
2023-12-10,67,67
2023-12-11,70,77
2023-12-12,64,61
2023-12-13,64,62
2023-12-14,72,62
2023-12-15,67,58
2023-12-16,63,54
2023-12-17,58,50
2023-12-18,68,53
2023-12-19,67,58
2023-12-20,69,58
2023-12-21,70,59
2023-12-22,69,64
2023-12-23,62,56
2023-12-24,63,57
2023-12-25,61,56
2023-12-26,67,56
2023-12-27,64,64
2023-12-28,68,74
2023-12-29,67,65
2023-12-30,62,54
2023-12-31,54,51
