date,litecoin
2023-07-01,59
2023-07-02,65
2023-07-03,57
2023-07-04,44
2023-07-05,42
2023-07-06,42
2023-07-07,43
2023-07-08,39
2023-07-09,42
2023-07-10,40
2023-07-11,40
2023-07-12,36
2023-07-13,45
2023-07-14,42
2023-07-15,37
2023-07-16,38
2023-07-17,37
2023-07-18,34
2023-07-19,40
2023-07-20,41
2023-07-21,36
2023-07-22,36
2023-07-23,36
2023-07-24,41
2023-07-25,39
2023-07-26,38
2023-07-27,35
2023-07-28,35
2023-07-29,38
2023-07-30,50
2023-07-31,46
2023-08-01,56
2023-08-02,100
2023-08-03,53
2023-08-04,44
2023-08-05,36
2023-08-06,32
2023-08-07,29
2023-08-08,31
2023-08-09,28
2023-08-10,28
2023-08-11,28
2023-08-12,28
2023-08-13,26
2023-08-14,26
2023-08-15,29
2023-08-16,29
2023-08-17,32
2023-08-18,36
2023-08-19,30
2023-08-20,32
2023-08-21,35
2023-08-22,32
2023-08-23,33
2023-08-24,27
2023-08-25,24
2023-08-26,23
2023-08-27,26
2023-08-28,28
2023-08-29,31
2023-08-30,27
2023-08-31,27
2023-09-01,24
2023-09-02,24
2023-09-03,26
2023-09-04,25
2023-09-05,25
2023-09-06,22
2023-09-07,24
2023-09-08,24
2023-09-09,19
2023-09-10,25
2023-09-11,30
2023-09-12,27
2023-09-13,26
2023-09-14,26
2023-09-15,25
2023-09-16,28
2023-09-17,22
2023-09-18,25
2023-09-19,29
2023-09-20,27
2023-09-21,23
2023-09-22,23
2023-09-23,23
2023-09-24,22
2023-09-25,23
2023-09-26,21
2023-09-27,23
2023-09-28,25
2023-09-29,21
2023-09-30,24
2023-10-01,24
2023-10-02,27
2023-10-03,22
2023-10-04,25
2023-10-05,26
2023-10-06,24
2023-10-07,22
2023-10-08,21
2023-10-09,23
2023-10-10,20
2023-10-11,23
2023-10-12,22
2023-10-13,21
2023-10-14,22
2023-10-15,22
2023-10-16,25
2023-10-17,19
2023-10-18,20
2023-10-19,21
2023-10-20,25
2023-10-21,23
2023-10-22,25
2023-10-23,31
2023-10-24,37
2023-10-25,28
2023-10-26,28
2023-10-27,26
2023-10-28,24
2023-10-29,25
2023-10-30,23
2023-10-31,26
2023-11-01,26
2023-11-02,26
2023-11-03,22
2023-11-04,24
2023-11-05,23
2023-11-06,31
2023-11-07,30
2023-11-08,26
2023-11-09,33
2023-11-10,34
2023-11-11,29
2023-11-12,32
2023-11-13,29
2023-11-14,28
2023-11-15,28
2023-11-16,28
2023-11-17,27
2023-11-18,28
2023-11-19,24
2023-11-20,27
2023-11-21,27
2023-11-22,25
2023-11-23,24
2023-11-24,27
2023-11-25,24
2023-11-26,22
2023-11-27,23
2023-11-28,23
2023-11-29,22
2023-11-30,23
2023-12-01,28
2023-12-02,27
2023-12-03,27
2023-12-04,36
2023-12-05,33
2023-12-06,37
2023-12-07,32
2023-12-08,41
2023-12-09,36
2023-12-10,35
2023-12-11,33
2023-12-12,28
2023-12-13,28
2023-12-14,27
2023-12-15,26
2023-12-16,25
2023-12-17,24
2023-12-18,29
2023-12-19,27
2023-12-20,30
2023-12-21,33
2023-12-22,31
2023-12-23,31
2023-12-24,32
2023-12-25,35
2023-12-26,31
2023-12-27,34
2023-12-28,31
2023-12-29,34
2023-12-30,28
2023-12-31,28
