date,eth,ethereum
2021-01-01,21,14
2021-01-02,29,22
2021-01-03,55,40
2021-01-04,62,53
2021-01-05,45,37
2021-01-06,49,40
2021-01-07,56,47
2021-01-08,49,45
2021-01-09,38,39
2021-01-10,51,47
2021-01-11,51,48
2021-01-12,36,34
2021-01-13,29,29
2021-01-14,35,29
2021-01-15,31,27
2021-01-16,30,25
2021-01-17,30,23
2021-01-18,28,22
2021-01-19,52,39
2021-01-20,37,32
2021-01-21,32,29
2021-01-22,31,28
2021-01-23,28,22
2021-01-24,33,25
2021-01-25,40,33
2021-01-26,32,27
2021-01-27,32,24
2021-01-28,29,25
2021-01-29,37,31
2021-01-30,31,26
2021-01-31,29,24
2021-02-01,31,22
2021-02-02,43,32
2021-02-03,54,44
2021-02-04,52,43
2021-02-05,47,39
2021-02-06,45,40
2021-02-07,45,37
2021-02-08,51,42
2021-02-09,52,45
2021-02-10,43,39
2021-02-11,43,34
2021-02-12,39,35
2021-02-13,37,34
2021-02-14,38,33
2021-02-15,36,33
2021-02-16,34,31
2021-02-17,46,33
2021-02-18,46,39
2021-02-19,48,40
2021-02-20,60,49
2021-02-21,44,37
2021-02-22,57,43
2021-02-23,60,50
2021-02-24,43,37
2021-02-25,35,30
2021-02-26,36,31
2021-02-27,34,28
2021-02-28,37,32
2021-03-01,33,27
2021-03-02,31,24
2021-03-03,30,24
2021-03-04,28,22
2021-03-05,28,21
2021-03-06,31,22
2021-03-07,33,24
2021-03-08,32,26
2021-03-09,34,30
2021-03-10,33,26
2021-03-11,30,25
2021-03-12,31,24
2021-03-13,37,33
2021-03-14,37,30
2021-03-15,30,25
2021-03-16,30,23
2021-03-17,27,21
2021-03-18,29,21
2021-03-19,28,21
2021-03-20,29,21
2021-03-21,29,21
2021-03-22,28,21
2021-03-23,27,20
2021-03-24,29,21
2021-03-25,29,21
2021-03-26,26,18
2021-03-27,26,18
2021-03-28,26,18
2021-03-29,32,22
2021-03-30,30,23
2021-03-31,31,22
2021-04-01,39,26
2021-04-02,45,38
2021-04-03,39,37
2021-04-04,33,29
2021-04-05,36,29
2021-04-06,34,29
2021-04-07,30,26
2021-04-08,29,23
2021-04-09,29,21
2021-04-10,31,26
2021-04-11,32,27
2021-04-12,33,26
2021-04-13,39,33
2021-04-14,43,39
2021-04-15,48,43
2021-04-16,43,41
2021-04-17,39,34
2021-04-18,43,40
2021-04-19,36,33
2021-04-20,38,32
2021-04-21,38,30
2021-04-22,51,40
2021-04-23,43,40
2021-04-24,33,28
2021-04-25,36,28
2021-04-26,37,29
2021-04-27,41,33
2021-04-28,44,38
2021-04-29,41,37
2021-04-30,36,37
2021-05-01,46,44
2021-05-02,43,44
2021-05-03,89,82
2021-05-04,82,82
2021-05-05,67,77
2021-05-06,65,75
2021-05-07,58,59
2021-05-08,71,69
2021-05-09,78,76
2021-05-10,95,87
2021-05-11,81,70
2021-05-12,84,73
2021-05-13,89,86
2021-05-14,69,64
2021-05-15,56,54
2021-05-16,61,60
2021-05-17,65,66
2021-05-18,54,51
2021-05-19,100,100
2021-05-20,69,74
2021-05-21,59,59
2021-05-22,50,57
2021-05-23,64,72
2021-05-24,57,61
2021-05-25,46,55
2021-05-26,47,49
2021-05-27,39,45
2021-05-28,36,44
2021-05-29,36,42
2021-05-30,34,40
2021-05-31,34,38
2021-06-01,35,36
2021-06-02,34,34
2021-06-03,34,34
2021-06-04,32,33
2021-06-05,31,29
2021-06-06,30,30
2021-06-07,30,33
2021-06-08,35,35
2021-06-09,30,30
2021-06-10,28,27
2021-06-11,26,25
2021-06-12,27,25
2021-06-13,27,25
2021-06-14,28,28
2021-06-15,28,26
2021-06-16,26,22
2021-06-17,26,22
2021-06-18,25,23
2021-06-19,24,21
2021-06-20,27,24
2021-06-21,34,34
2021-06-22,35,37
2021-06-23,30,28
2021-06-24,27,24
2021-06-25,27,25
2021-06-26,34,25
2021-06-27,28,21
2021-06-28,32,26
2021-06-29,30,26
2021-06-30,29,23
