date,dogecoin
2021-07-01,68
2021-07-02,63
2021-07-03,51
2021-07-04,60
2021-07-05,48
2021-07-06,49
2021-07-07,40
2021-07-08,50
2021-07-09,57
2021-07-10,41
2021-07-11,34
2021-07-12,38
2021-07-13,40
2021-07-14,43
2021-07-15,44
2021-07-16,48
2021-07-17,49
2021-07-18,40
2021-07-19,46
2021-07-20,56
2021-07-21,55
2021-07-22,42
2021-07-23,34
2021-07-24,36
2021-07-25,37
2021-07-26,61
2021-07-27,38
2021-07-28,37
2021-07-29,31
2021-07-30,29
2021-07-31,32
2021-08-01,31
2021-08-02,26
2021-08-03,27
2021-08-04,30
2021-08-05,29
2021-08-06,33
2021-08-07,49
2021-08-08,62
2021-08-09,47
2021-08-10,43
2021-08-11,50
2021-08-12,44
2021-08-13,41
2021-08-14,49
2021-08-15,68
2021-08-16,76
2021-08-17,56
2021-08-18,51
2021-08-19,47
2021-08-20,48
2021-08-21,39
2021-08-22,36
2021-08-23,45
2021-08-24,43
2021-08-25,34
2021-08-26,32
2021-08-27,30
2021-08-28,29
2021-08-29,27
2021-08-30,28
2021-08-31,29
2021-09-01,30
2021-09-02,36
2021-09-03,36
2021-09-04,31
2021-09-05,32
2021-09-06,32
2021-09-07,39
2021-09-08,32
2021-09-09,27
2021-09-10,26
2021-09-11,27
2021-09-12,25
2021-09-13,27
2021-09-14,26
2021-09-15,26
2021-09-16,25
2021-09-17,27
2021-09-18,22
2021-09-19,21
2021-09-20,27
2021-09-21,29
2021-09-22,28
2021-09-23,27
2021-09-24,29
2021-09-25,23
2021-09-26,20
2021-09-27,21
2021-09-28,20
2021-09-29,21
2021-09-30,22
2021-10-01,22
2021-10-02,22
2021-10-03,21
2021-10-04,28
2021-10-05,35
2021-10-06,39
2021-10-07,36
2021-10-08,35
2021-10-09,30
2021-10-10,29
2021-10-11,31
2021-10-12,28
2021-10-13,28
2021-10-14,29
2021-10-15,30
2021-10-16,30
2021-10-17,27
2021-10-18,39
2021-10-19,37
2021-10-20,36
2021-10-21,33
2021-10-22,31
2021-10-23,30
2021-10-24,41
2021-10-25,46
2021-10-26,46
2021-10-27,56
2021-10-28,100
2021-10-29,66
2021-10-30,53
2021-10-31,46
2021-11-01,50
2021-11-02,46
2021-11-03,38
2021-11-04,34
2021-11-05,33
2021-11-06,29
2021-11-07,30
2021-11-08,43
2021-11-09,40
2021-11-10,35
2021-11-11,32
2021-11-12,30
2021-11-13,31
2021-11-14,29
2021-11-15,28
2021-11-16,28
2021-11-17,27
2021-11-18,27
2021-11-19,27
2021-11-20,26
2021-11-21,24
2021-11-22,24
2021-11-23,29
2021-11-24,27
2021-11-25,25
2021-11-26,28
2021-11-27,24
2021-11-28,25
2021-11-29,26
2021-11-30,28
2021-12-01,26
2021-12-02,26
2021-12-03,24
2021-12-04,35
2021-12-05,30
2021-12-06,28
2021-12-07,26
2021-12-08,24
2021-12-09,23
2021-12-10,23
2021-12-11,21
2021-12-12,20
2021-12-13,24
2021-12-14,86
2021-12-15,59
2021-12-16,34
2021-12-17,30
2021-12-18,26
2021-12-19,24
2021-12-20,25
2021-12-21,25
2021-12-22,25
2021-12-23,25
2021-12-24,30
2021-12-25,29
2021-12-26,28
2021-12-27,28
2021-12-28,26
2021-12-29,25
2021-12-30,27
2021-12-31,23
