date,btc,bitcoin
2023-07-01,36,45
2023-07-02,35,46
2023-07-03,41,51
2023-07-04,40,50
2023-07-05,39,48
2023-07-06,41,52
2023-07-07,40,45
2023-07-08,32,42
2023-07-09,32,44
2023-07-10,39,49
2023-07-11,37,48
2023-07-12,38,48
2023-07-13,43,53
2023-07-14,46,54
2023-07-15,38,46
2023-07-16,34,46
2023-07-17,38,49
2023-07-18,37,46
2023-07-19,39,48
2023-07-20,37,47
2023-07-21,37,46
2023-07-22,29,39
2023-07-23,31,42
2023-07-24,36,48
2023-07-25,35,46
2023-07-26,34,45
2023-07-27,34,43
2023-07-28,32,43
2023-07-29,30,41
2023-07-30,29,41
2023-07-31,31,42
2023-08-01,32,43
2023-08-02,33,47
2023-08-03,31,43
2023-08-04,31,45
2023-08-05,29,43
2023-08-06,30,39
2023-08-07,32,43
2023-08-08,35,45
2023-08-09,35,45
2023-08-10,34,46
2023-08-11,45,43
2023-08-12,36,40
2023-08-13,32,39
2023-08-14,36,43
2023-08-15,35,42
2023-08-16,38,44
2023-08-17,51,54
2023-08-18,63,71
2023-08-19,46,54
2023-08-20,40,46
2023-08-21,43,48
2023-08-22,40,50
2023-08-23,41,48
2023-08-24,38,47
2023-08-25,35,45
2023-08-26,32,40
2023-08-27,30,45
2023-08-28,34,43
2023-08-29,44,53
2023-08-30,39,50
2023-08-31,36,47
2023-09-01,37,47
2023-09-02,31,40
2023-09-03,30,40
2023-09-04,33,41
2023-09-05,31,43
2023-09-06,31,40
2023-09-07,31,42
2023-09-08,33,41
2023-09-09,28,40
2023-09-10,27,39
2023-09-11,34,42
2023-09-12,35,43
2023-09-13,33,42
2023-09-14,33,39
2023-09-15,32,38
2023-09-16,28,36
2023-09-17,28,35
2023-09-18,36,42
2023-09-19,34,41
2023-09-20,33,41
2023-09-21,32,41
2023-09-22,32,38
2023-09-23,26,36
2023-09-24,25,34
2023-09-25,31,38
2023-09-26,30,38
2023-09-27,31,38
2023-09-28,33,39
2023-09-29,31,37
2023-09-30,29,35
2023-10-01,31,37
2023-10-02,40,47
2023-10-03,33,41
2023-10-04,31,38
2023-10-05,31,38
2023-10-06,31,39
2023-10-07,31,36
2023-10-08,40,37
2023-10-09,36,41
2023-10-10,30,40
2023-10-11,31,39
2023-10-12,31,39
2023-10-13,32,40
2023-10-14,28,35
2023-10-15,28,36
2023-10-16,43,48
2023-10-17,36,46
2023-10-18,34,43
2023-10-19,34,42
2023-10-20,46,51
2023-10-21,40,45
2023-10-22,37,45
2023-10-23,61,61
2023-10-24,100,100
2023-10-25,66,74
2023-10-26,56,66
2023-10-27,48,56
2023-10-28,42,51
2023-10-29,42,48
2023-10-30,46,54
2023-10-31,44,51
2023-11-01,42,55
2023-11-02,51,57
2023-11-03,46,56
2023-11-04,38,47
2023-11-05,40,48
2023-11-06,43,51
2023-11-07,43,52
2023-11-08,42,52
2023-11-09,72,71
2023-11-10,58,66
2023-11-11,47,56
2023-11-12,38,52
2023-11-13,47,57
2023-11-14,48,58
2023-11-15,49,55
2023-11-16,49,55
2023-11-17,45,51
2023-11-18,39,48
2023-11-19,37,46
2023-11-20,47,52
2023-11-21,49,54
2023-11-22,47,54
2023-11-23,41,48
2023-11-24,46,53
2023-11-25,41,48
2023-11-26,38,45
2023-11-27,41,47
2023-11-28,42,48
2023-11-29,43,50
2023-11-30,40,47
2023-12-01,45,52
2023-12-02,51,54
2023-12-03,52,58
2023-12-04,91,93
2023-12-05,85,85
2023-12-06,82,82
2023-12-07,66,72
2023-12-08,64,71
2023-12-09,54,65
2023-12-10,46,59
2023-12-11,68,74
2023-12-12,55,62
2023-12-13,54,61
2023-12-14,55,61
2023-12-15,50,57
2023-12-16,46,51
2023-12-17,45,51
2023-12-18,52,57
2023-12-19,51,59
2023-12-20,54,60
2023-12-21,57,65
2023-12-22,52,58
2023-12-23,46,55
2023-12-24,44,53
2023-12-25,46,55
2023-12-26,51,61
2023-12-27,51,59
2023-12-28,51,56
2023-12-29,49,57
2023-12-30,45,51
2023-12-31,41,49
