date,dogecoin
2024-07-01,2
2024-07-02,2
2024-07-03,2
2024-07-04,3
2024-07-05,3
2024-07-06,3
2024-07-07,3
2024-07-08,3
2024-07-09,2
2024-07-10,2
2024-07-11,3
2024-07-12,3
2024-07-13,3
2024-07-14,3
2024-07-15,3
2024-07-16,3
2024-07-17,3
2024-07-18,3
2024-07-19,12
2024-07-20,4
2024-07-21,4
2024-07-22,4
2024-07-23,3
2024-07-24,3
2024-07-25,3
2024-07-26,3
2024-07-27,3
2024-07-28,3
2024-07-29,3
2024-07-30,3
2024-07-31,2
2024-08-01,3
2024-08-02,3
2024-08-03,2
2024-08-04,3
2024-08-05,5
2024-08-06,4
2024-08-07,3
2024-08-08,3
2024-08-09,3
2024-08-10,3
2024-08-11,3
2024-08-12,3
2024-08-13,3
2024-08-14,3
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,3
2024-08-19,3
2024-08-20,4
2024-08-21,3
2024-08-22,3
2024-08-23,4
2024-08-24,3
2024-08-25,4
2024-08-26,5
2024-08-27,3
2024-08-28,3
2024-08-29,3
2024-08-30,3
2024-08-31,3
2024-09-01,2
2024-09-02,3
2024-09-03,3
2024-09-04,3
2024-09-05,3
2024-09-06,3
2024-09-07,3
2024-09-08,3
2024-09-09,3
2024-09-10,3
2024-09-11,2
2024-09-12,2
2024-09-13,2
2024-09-14,3
2024-09-15,2
2024-09-16,3
2024-09-17,2
2024-09-18,2
2024-09-19,3
2024-09-20,3
2024-09-21,3
2024-09-22,3
2024-09-23,3
2024-09-24,2
2024-09-25,2
2024-09-26,3
2024-09-27,4
2024-09-28,4
2024-09-29,3
2024-09-30,3
2024-10-01,3
2024-10-02,2
2024-10-03,3
2024-10-04,3
2024-10-05,2
2024-10-06,2
2024-10-07,3
2024-10-08,2
2024-10-09,2
2024-10-10,2
2024-10-11,2
2024-10-12,2
2024-10-13,2
2024-10-14,3
2024-10-15,2
2024-10-16,4
2024-10-17,3
2024-10-18,5
2024-10-19,5
2024-10-20,4
2024-10-21,4
2024-10-22,4
2024-10-23,3
2024-10-24,3
2024-10-25,3
2024-10-26,3
2024-10-27,3
2024-10-28,6
2024-10-29,10
2024-10-30,7
2024-10-31,6
2024-11-01,5
2024-11-02,4
2024-11-03,4
2024-11-04,5
2024-11-05,7
2024-11-06,27
2024-11-07,14
2024-11-08,13
2024-11-09,12
2024-11-10,32
2024-11-11,51
2024-11-12,77
2024-11-13,100
2024-11-14,66
2024-11-15,43
2024-11-16,34
2024-11-17,28
2024-11-18,29
2024-11-19,31
2024-11-20,28
2024-11-21,30
2024-11-22,31
2024-11-23,44
2024-11-24,30
2024-11-25,29
2024-11-26,24
2024-11-27,24
2024-11-28,19
2024-11-29,22
2024-11-30,19
2024-12-01,21
2024-12-02,26
2024-12-03,22
2024-12-04,22
2024-12-05,35
2024-12-06,26
2024-12-07,26
2024-12-08,26
2024-12-09,25
2024-12-10,22
2024-12-11,21
2024-12-12,19
2024-12-13,17
2024-12-14,15
2024-12-15,16
2024-12-16,17
2024-12-17,16
2024-12-18,14
2024-12-19,18
2024-12-20,20
2024-12-21,16
2024-12-22,15
2024-12-23,14
2024-12-24,15
2024-12-25,14
2024-12-26,13
2024-12-27,12
2024-12-28,12
2024-12-29,12
2024-12-30,12
2024-12-31,12
