date,litecoin
2022-01-01,36
2022-01-02,34
2022-01-03,35
2022-01-04,68
2022-01-05,30
2022-01-06,34
2022-01-07,36
2022-01-08,37
2022-01-09,35
2022-01-10,34
2022-01-11,37
2022-01-12,34
2022-01-13,71
2022-01-14,30
2022-01-15,40
2022-01-16,68
2022-01-17,35
2022-01-18,32
2022-01-19,31
2022-01-20,33
2022-01-21,42
2022-01-22,50
2022-01-23,43
2022-01-24,100
2022-01-25,35
2022-01-26,32
2022-01-27,32
2022-01-28,33
2022-01-29,34
2022-01-30,32
2022-01-31,31
2022-02-01,36
2022-02-02,34
2022-02-03,30
2022-02-04,32
2022-02-05,34
2022-02-06,33
2022-02-07,45
2022-02-08,42
2022-02-09,38
2022-02-10,29
2022-02-11,31
2022-02-12,31
2022-02-13,32
2022-02-14,29
2022-02-15,31
2022-02-16,31
2022-02-17,27
2022-02-18,29
2022-02-19,27
2022-02-20,30
2022-02-21,30
2022-02-22,33
2022-02-23,31
2022-02-24,39
2022-02-25,34
2022-02-26,32
2022-02-27,30
2022-02-28,34
2022-03-01,35
2022-03-02,29
2022-03-03,31
2022-03-04,29
2022-03-05,29
2022-03-06,28
2022-03-07,29
2022-03-08,27
2022-03-09,28
2022-03-10,25
2022-03-11,28
2022-03-12,27
2022-03-13,27
2022-03-14,24
2022-03-15,25
2022-03-16,26
2022-03-17,23
2022-03-18,28
2022-03-19,26
2022-03-20,28
2022-03-21,25
2022-03-22,34
2022-03-23,27
2022-03-24,32
2022-03-25,30
2022-03-26,26
2022-03-27,29
2022-03-28,37
2022-03-29,31
2022-03-30,31
2022-03-31,29
2022-04-01,26
2022-04-02,27
2022-04-03,26
2022-04-04,26
2022-04-05,28
2022-04-06,25
2022-04-07,24
2022-04-08,24
2022-04-09,23
2022-04-10,23
2022-04-11,24
2022-04-12,23
2022-04-13,26
2022-04-14,23
2022-04-15,23
2022-04-16,23
2022-04-17,22
2022-04-18,23
2022-04-19,22
2022-04-20,21
2022-04-21,22
2022-04-22,21
2022-04-23,20
2022-04-24,20
2022-04-25,22
2022-04-26,23
2022-04-27,21
2022-04-28,23
2022-04-29,21
2022-04-30,22
2022-05-01,22
2022-05-02,22
2022-05-03,22
2022-05-04,22
2022-05-05,23
2022-05-06,23
2022-05-07,23
2022-05-08,23
2022-05-09,30
2022-05-10,26
2022-05-11,36
2022-05-12,42
2022-05-13,38
2022-05-14,30
2022-05-15,26
2022-05-16,26
2022-05-17,27
2022-05-18,23
2022-05-19,23
2022-05-20,24
2022-05-21,21
2022-05-22,22
2022-05-23,23
2022-05-24,23
2022-05-25,20
2022-05-26,23
2022-05-27,24
2022-05-28,21
2022-05-29,20
2022-05-30,20
2022-05-31,21
2022-06-01,20
2022-06-02,18
2022-06-03,19
2022-06-04,18
2022-06-05,18
2022-06-06,20
2022-06-07,19
2022-06-08,21
2022-06-09,20
2022-06-10,20
2022-06-11,22
2022-06-12,25
2022-06-13,34
2022-06-14,28
2022-06-15,30
2022-06-16,25
2022-06-17,23
2022-06-18,28
2022-06-19,32
2022-06-20,24
2022-06-21,21
2022-06-22,22
2022-06-23,21
2022-06-24,21
2022-06-25,19
2022-06-26,21
2022-06-27,19
2022-06-28,18
2022-06-29,17
2022-06-30,19
