date,litecoin
2023-01-01,44
2023-01-02,46
2023-01-03,43
2023-01-04,43
2023-01-05,35
2023-01-06,37
2023-01-07,35
2023-01-08,44
2023-01-09,48
2023-01-10,42
2023-01-11,47
2023-01-12,48
2023-01-13,45
2023-01-14,56
2023-01-15,48
2023-01-16,48
2023-01-17,49
2023-01-18,45
2023-01-19,45
2023-01-20,46
2023-01-21,51
2023-01-22,47
2023-01-23,47
2023-01-24,44
2023-01-25,39
2023-01-26,42
2023-01-27,41
2023-01-28,39
2023-01-29,62
2023-01-30,47
2023-01-31,44
2023-02-01,49
2023-02-02,56
2023-02-03,47
2023-02-04,46
2023-02-05,45
2023-02-06,40
2023-02-07,45
2023-02-08,45
2023-02-09,42
2023-02-10,39
2023-02-11,36
2023-02-12,37
2023-02-13,34
2023-02-14,38
2023-02-15,42
2023-02-16,47
2023-02-17,43
2023-02-18,39
2023-02-19,40
2023-02-20,43
2023-02-21,43
2023-02-22,39
2023-02-23,32
2023-02-24,31
2023-02-25,33
2023-02-26,31
2023-02-27,35
2023-02-28,38
2023-03-01,36
2023-03-02,33
2023-03-03,38
2023-03-04,31
2023-03-05,32
2023-03-06,37
2023-03-07,31
2023-03-08,31
2023-03-09,37
2023-03-10,42
2023-03-11,44
2023-03-12,37
2023-03-13,47
2023-03-14,42
2023-03-15,38
2023-03-16,39
2023-03-17,42
2023-03-18,38
2023-03-19,37
2023-03-20,42
2023-03-21,38
2023-03-22,42
2023-03-23,53
2023-03-24,47
2023-03-25,44
2023-03-26,43
2023-03-27,43
2023-03-28,42
2023-03-29,42
2023-03-30,41
2023-03-31,41
2023-04-01,40
2023-04-02,38
2023-04-03,38
2023-04-04,35
2023-04-05,41
2023-04-06,39
2023-04-07,34
2023-04-08,35
2023-04-09,35
2023-04-10,37
2023-04-11,43
2023-04-12,40
2023-04-13,41
2023-04-14,40
2023-04-15,39
2023-04-16,50
2023-04-17,41
2023-04-18,48
2023-04-19,42
2023-04-20,40
2023-04-21,37
2023-04-22,37
2023-04-23,35
2023-04-24,37
2023-04-25,38
2023-04-26,38
2023-04-27,36
2023-04-28,34
2023-04-29,36
2023-04-30,32
2023-05-01,39
2023-05-02,30
2023-05-03,30
2023-05-04,36
2023-05-05,37
2023-05-06,38
2023-05-07,33
2023-05-08,37
2023-05-09,41
2023-05-10,39
2023-05-11,37
2023-05-12,35
2023-05-13,31
2023-05-14,32
2023-05-15,41
2023-05-16,47
2023-05-17,46
2023-05-18,43
2023-05-19,41
2023-05-20,39
2023-05-21,42
2023-05-22,38
2023-05-23,41
2023-05-24,36
2023-05-25,40
2023-05-26,37
2023-05-27,35
2023-05-28,37
2023-05-29,34
2023-05-30,39
2023-05-31,41
2023-06-01,51
2023-06-02,43
2023-06-03,46
2023-06-04,44
2023-06-05,43
2023-06-06,38
2023-06-07,39
2023-06-08,34
2023-06-09,36
2023-06-10,50
2023-06-11,44
2023-06-12,43
2023-06-13,37
2023-06-14,44
2023-06-15,42
2023-06-16,40
2023-06-17,38
2023-06-18,37
2023-06-19,35
2023-06-20,38
2023-06-21,47
2023-06-22,44
2023-06-23,46
2023-06-24,49
2023-06-25,43
2023-06-26,38
2023-06-27,41
2023-06-28,40
2023-06-29,39
2023-06-30,100
